Scenario,Expert,Method,Rank
Groundwater,Expert1,ERT,1
Groundwater,Expert1,TEM,2
Groundwater,Expert1,Seismic_Refraction,3
Groundwater,Expert1,Induced_Polarization,4
Groundwater,Expert1,GPR,5
Groundwater,Expert1,Self_Potential,6
Groundwater,Expert1,Magnetometry,7
Groundwater,Expert1,Gravity,8
Groundwater,Expert1,Radiometric,9
Groundwater,Expert2,ERT,1
Groundwater,Expert2,TEM,2
Groundwater,Expert2,Seismic_Refraction,3
Groundwater,Expert2,Induced_Polarization,4
Groundwater,Expert2,GPR,5
Groundwater,Expert2,Self_Potential,6
Groundwater,Expert2,Magnetometry,7
Groundwater,Expert2,Gravity,8
Groundwater,Expert2,Radiometric,9
Groundwater,Expert3,ERT,1
Groundwater,Expert3,TEM,2
Groundwater,Expert3,Induced_Polarization,3
Groundwater,Expert3,Seismic_Refraction,4
Groundwater,Expert3,GPR,5
Groundwater,Expert3,Self_Potential,6
Groundwater,Expert3,Magnetometry,7
Groundwater,Expert3,Gravity,8
Groundwater,Expert3,Radiometric,9
Groundwater,Expert4,ERT,1
Groundwater,Expert4,TEM,2
Groundwater,Expert4,Seismic_Refraction,3
Groundwater,Expert4,Induced_Polarization,4
Groundwater,Expert4,GPR,5
Groundwater,Expert4,Self_Potential,6
Groundwater,Expert4,Magnetometry,7
Groundwater,Expert4,Gravity,8
Groundwater,Expert4,Radiometric,9
Groundwater,Expert5,ERT,1
Groundwater,Expert5,TEM,2
Groundwater,Expert5,Seismic_Refraction,3
Groundwater,Expert5,Induced_Polarization,4
Groundwater,Expert5,GPR,5
Groundwater,Expert5,Self_Potential,6
Groundwater,Expert5,Magnetometry,7
Groundwater,Expert5,Gravity,8
Groundwater,Expert5,Radiometric,9
Void_Detection,Expert1,GPR,1
Void_Detection,Expert1,ERT,2
Void_Detection,Expert1,Seismic_Refraction,3
Void_Detection,Expert1,Magnetometry,4
Void_Detection,Expert1,Gravity,5
Void_Detection,Expert1,TEM,6
Void_Detection,Expert1,Induced_Polarization,7
Void_Detection,Expert1,Self_Potential,8
Void_Detection,Expert1,Radiometric,9
Void_Detection,Expert2,GPR,1
Void_Detection,Expert2,Seismic_Refraction,2
Void_Detection,Expert2,ERT,3
Void_Detection,Expert2,Magnetometry,4
Void_Detection,Expert2,Gravity,5
Void_Detection,Expert2,TEM,6
Void_Detection,Expert2,Induced_Polarization,7
Void_Detection,Expert2,Self_Potential,8
Void_Detection,Expert2,Radiometric,9
Void_Detection,Expert3,GPR,1
Void_Detection,Expert3,ERT,2
Void_Detection,Expert3,Seismic_Refraction,3
Void_Detection,Expert3,Magnetometry,4
Void_Detection,Expert3,TEM,5
Void_Detection,Expert3,Gravity,6
Void_Detection,Expert3,Induced_Polarization,7
Void_Detection,Expert3,Self_Potential,8
Void_Detection,Expert3,Radiometric,9
Void_Detection,Expert4,GPR,1
Void_Detection,Expert4,ERT,2
Void_Detection,Expert4,Magnetometry,3
Void_Detection,Expert4,Seismic_Refraction,4
Void_Detection,Expert4,Gravity,5
Void_Detection,Expert4,TEM,6
Void_Detection,Expert4,Induced_Polarization,7
Void_Detection,Expert4,Self_Potential,8
Void_Detection,Expert4,Radiometric,9
Void_Detection,Expert5,GPR,1
Void_Detection,Expert5,ERT,2
Void_Detection,Expert5,Seismic_Refraction,3
Void_Detection,Expert5,Magnetometry,4
Void_Detection,Expert5,Gravity,5
Void_Detection,Expert5,TEM,6
Void_Detection,Expert5,Induced_Polarization,7
Void_Detection,Expert5,Self_Potential,8
Void_Detection,Expert5,Radiometric,9
Archaeology,Expert1,GPR,1
Archaeology,Expert1,Magnetometry,2
Archaeology,Expert1,ERT,3
Archaeology,Expert1,Radiometric,4
Archaeology,Expert1,Self_Potential,5
Archaeology,Expert1,Induced_Polarization,6
Archaeology,Expert1,Seismic_Refraction,7
Archaeology,Expert1,Gravity,8
Archaeology,Expert1,TEM,9
Archaeology,Expert2,GPR,1
Archaeology,Expert2,Magnetometry,2
Archaeology,Expert2,ERT,3
Archaeology,Expert2,Radiometric,4
Archaeology,Expert2,Induced_Polarization,5
Archaeology,Expert2,Self_Potential,6
Archaeology,Expert2,Seismic_Refraction,7
Archaeology,Expert2,Gravity,8
Archaeology,Expert2,TEM,9
Archaeology,Expert3,GPR,1
Archaeology,Expert3,Magnetometry,2
Archaeology,Expert3,Radiometric,3
Archaeology,Expert3,ERT,4
Archaeology,Expert3,Self_Potential,5
Archaeology,Expert3,Induced_Polarization,6
Archaeology,Expert3,Seismic_Refraction,7
Archaeology,Expert3,Gravity,8
Archaeology,Expert3,TEM,9
Archaeology,Expert4,GPR,1
Archaeology,Expert4,Magnetometry,2
Archaeology,Expert4,ERT,3
Archaeology,Expert4,Radiometric,4
Archaeology,Expert4,Self_Potential,5
Archaeology,Expert4,Induced_Polarization,6
Archaeology,Expert4,Seismic_Refraction,7
Archaeology,Expert4,Gravity,8
Archaeology,Expert4,TEM,9
Archaeology,Expert5,GPR,1
Archaeology,Expert5,Magnetometry,2
Archaeology,Expert5,ERT,3
Archaeology,Expert5,Radiometric,4
Archaeology,Expert5,Self_Potential,5
Archaeology,Expert5,Induced_Polarization,6
Archaeology,Expert5,Seismic_Refraction,7
Archaeology,Expert5,Gravity,8
Archaeology,Expert5,TEM,9
