case_id,target_class,deployed,baseline_rank1,rank1_retention_prob
BM-01,groundwater,ERT,ERT,0.711
BM-02,groundwater,ERT,ERT,0.611
BM-03,groundwater,ERT,ERT,0.823
BM-04,groundwater,ERT,ERT,0.75
BM-05,groundwater,TEM,TEM,0.254
BM-06,groundwater,TEM,ERT,0.718
BM-07,groundwater,Induced_Polarization,ERT,0.589
BM-08,groundwater,Self_Potential,ERT,0.523
BM-09,groundwater,Seismic_Refraction,ERT,0.483
BM-10,void,Gravity,GPR,0.955
BM-11,void,Gravity,ERT,0.354
BM-12,void,Gravity,GPR,0.866
BM-13,void,GPR,GPR,0.876
BM-14,void,GPR,GPR,0.934
BM-15,void,Seismic_Refraction,GPR,0.949
BM-16,void,ERT,ERT,0.472
BM-17,archaeology,Magnetometry,GPR,0.275
BM-18,archaeology,Magnetometry,GPR,0.263
BM-19,archaeology,GPR,GPR,0.574
BM-20,archaeology,GPR,GPR,0.446
BM-21,archaeology,Radiometric,Magnetometry,0.925
BM-22,archaeology,ERT,GPR,0.405
