weight,perturbation_pct,new_weight,top1,top3,d_top1,d_top3
physical_contrast,-30,0.28,40.9,86.4,-4.5,4.5
physical_contrast,-20,0.32,40.9,77.3,-4.5,-4.5
physical_contrast,-10,0.36,45.5,77.3,0.0,-4.5
physical_contrast,10,0.44,45.5,81.8,0.0,0.0
physical_contrast,20,0.48,45.5,81.8,0.0,0.0
physical_contrast,30,0.52,45.5,81.8,0.0,0.0
data_quality,-30,0.21,54.5,77.3,9.1,-4.5
data_quality,-20,0.24,54.5,77.3,9.1,-4.5
data_quality,-10,0.27,50.0,77.3,4.5,-4.5
data_quality,10,0.33,45.5,81.8,0.0,0.0
data_quality,20,0.36,45.5,81.8,0.0,0.0
data_quality,30,0.39,45.5,81.8,0.0,0.0
cost,-30,0.14,45.5,81.8,0.0,0.0
cost,-20,0.16,45.5,81.8,0.0,0.0
cost,-10,0.18,45.5,81.8,0.0,0.0
cost,10,0.22,45.5,77.3,0.0,-4.5
cost,20,0.24,50.0,77.3,4.5,-4.5
cost,30,0.26,54.5,81.8,9.1,0.0
effort,-30,0.07,45.5,81.8,0.0,0.0
effort,-20,0.08,45.5,81.8,0.0,0.0
effort,-10,0.09,45.5,81.8,0.0,0.0
effort,10,0.11,45.5,77.3,0.0,-4.5
effort,20,0.12,45.5,77.3,0.0,-4.5
effort,30,0.13,50.0,77.3,4.5,-4.5
